xent_gt_1,xent_gt_10,xent_gt_28,xent_gt_300,xent_sample_1,xent_sample_10,xent_sample_28,xent_sample_300
336.7745056152344,343.24574890136716,355.6080261230469,535.8629272460937,336.7745056152344,343.24574890136716,355.6080261230469,542.3311401367188
305.3607177734375,311.7224487304687,325.8618194580078,523.3398071289063,305.3607177734375,310.1388702392578,321.8936431884766,493.48927917480466
289.5596923828125,297.3487274169922,308.92156677246095,484.22426452636716,289.5596923828125,292.6016143798828,304.2368621826172,467.7938720703125
304.1395568847656,309.881494140625,321.8874908447266,501.7220916748047,304.1395568847656,309.8634063720703,322.41517944335936,496.8839447021484
327.75439453125,333.9149993896484,346.4440490722656,528.7775939941406,327.75439453125,333.9149993896484,346.4440490722656,531.1043395996094
314.94268798828125,318.54193725585935,327.97349243164064,525.9211791992187,314.94268798828125,318.5765869140625,328.1126434326172,490.9499237060547
325.2576599121094,330.17405090332034,342.8605560302734,529.0530029296875,325.2576599121094,330.17405090332034,342.8605560302734,525.1817504882813
315.3143615722656,320.2782012939453,333.7199768066406,517.8541809082031,314.3152770996094,319.20472412109376,331.64271850585936,510.5792694091797
324.96142578125,329.82130126953126,342.33933715820314,525.0551696777344,324.96142578125,329.8073394775391,342.3225372314453,521.3589416503906
323.05419921875,328.07933349609374,340.19249267578124,514.3076354980469,323.05419921875,328.2129272460937,340.3165008544922,523.1811645507812
313.5079040527344,318.5897491455078,331.09259033203125,516.0610229492188,313.5079040527344,318.5897491455078,331.0987976074219,512.9018432617188
326.2071533203125,333.70201721191404,348.12750244140625,551.9585083007812,326.2071533203125,330.4877868652344,341.2796325683594,497.99338684082034
330.5697326660156,335.7922027587891,348.3398010253906,528.6501098632813,330.5697326660156,335.7915893554688,348.3224822998047,529.0271850585938
321.25482177734375,327.4741638183594,339.15456237792966,522.6286376953125,321.25482177734375,325.6717498779297,337.35791015625,515.0828033447266
320.8619689941406,326.01454772949216,339.0578552246094,534.9700500488282,320.8619689941406,326.03029479980466,338.541259765625,508.8133880615234
330.79339599609375,336.3755615234375,348.75794372558596,544.147509765625,330.79339599609375,336.2370239257813,348.6227783203125,534.8319763183594
312.12640380859375,317.6589660644531,329.6072967529297,523.0861511230469,312.12640380859375,318.40648193359374,330.2824340820313,516.150439453125
322.62750244140625,327.6504272460937,340.0638671875,521.5228149414063,322.62750244140625,325.9345764160156,338.39435424804685,513.1028289794922
310.4456787109375,316.55910339355466,329.6493316650391,516.1915588378906,310.4456787109375,316.55910339355466,328.9670349121094,516.7263244628906
318.16131591796875,325.2297790527344,337.5078186035156,525.1829528808594,318.16131591796875,325.2297790527344,336.3045654296875,509.20537719726565
321.369140625,327.7210205078125,339.3543670654297,520.51533203125,321.369140625,325.10362243652344,337.0011383056641,504.2160614013672
306.3812255859375,308.9110504150391,319.8804443359375,508.3290710449219,306.3812255859375,308.9110504150391,319.6471313476562,484.1365112304687
296.875,301.0725067138672,312.80962524414065,517.2774871826172,296.875,300.095361328125,311.836181640625,485.1167785644531
313.6172790527344,317.53416748046874,330.48524169921876,520.0703582763672,313.6172790527344,315.62082824707034,328.59291076660156,487.1414733886719
314.9225769042969,320.3795562744141,332.626611328125,524.2623413085937,314.9225769042969,319.9875854492187,332.23084716796876,514.5340942382812
310.9267578125,316.8634552001953,329.09783630371095,508.2657897949219,310.9267578125,316.01634826660154,328.1184783935547,498.46148986816405
320.4230041503906,325.21044921875,337.69776611328126,522.0458068847656,320.4230041503906,324.59442443847655,336.9864044189453,517.8888854980469
313.42364501953125,319.5293334960937,331.12587890625,504.73923645019534,313.42364501953125,317.1223663330078,328.671533203125,499.84137573242185
