xent_gt_1,xent_gt_10,xent_gt_28,xent_gt_300,xent_sample_1,xent_sample_10,xent_sample_28,xent_sample_300
311.19708251953125,316.0432525634766,328.2587097167969,515.8019714355469,311.19708251953125,316.0432525634766,328.1172393798828,494.4145568847656
304.479248046875,311.49322509765625,323.1038360595703,493.7499176025391,304.479248046875,310.4948211669922,322.0412902832031,498.3735595703125
314.98858642578125,321.0007263183594,332.7436584472656,526.7995056152344,314.98858642578125,321.0007263183594,333.1692199707031,520.5692626953125
317.1750183105469,323.22857971191405,335.6127868652344,518.6979797363281,317.1750183105469,322.23012084960936,334.56923828125,509.2367645263672
321.6526794433594,328.06739196777346,340.4540191650391,538.4286926269531,321.6526794433594,328.06739196777346,340.4357147216797,525.0782287597656
308.951904296875,312.98060607910156,325.660400390625,499.1583587646484,308.951904296875,312.95380249023435,325.45432739257814,495.79127502441406
326.3174743652344,331.9887298583984,344.62144470214844,530.8041015625,326.3174743652344,331.94947814941406,344.5885711669922,529.1581726074219
314.22100830078125,317.2083740234375,327.33241882324216,531.3704711914063,314.22100830078125,317.2083740234375,327.7052734375,494.25122985839846
328.7776794433594,335.0957794189453,347.6631286621094,534.6121643066406,328.7776794433594,334.09873657226564,346.66602478027346,531.2097229003906
308.89324951171875,316.0548431396484,328.5092468261719,515.8557800292969,308.89324951171875,313.1864471435547,325.63905639648436,501.1741149902344
307.4476013183594,315.4766387939453,326.7229248046875,515.408090209961,307.4476013183594,311.48212890625,322.5662078857422,482.4702575683594
329.79864501953125,335.2213073730469,347.7371887207031,530.058740234375,329.79864501953125,335.2213073730469,347.7371887207031,532.1744323730469
306.70196533203125,309.6340057373047,321.34340209960936,518.0505584716797,306.70196533203125,309.6340057373047,320.4607421875,478.6574249267578
321.34893798828125,326.29900512695315,339.3282806396484,518.9043090820312,321.34893798828125,324.4334686279297,336.43768005371095,503.2669677734375
322.7422180175781,325.5094390869141,336.3416473388672,540.696044921875,322.7422180175781,326.0915222167969,336.92589416503904,491.46782836914065
322.3180236816406,327.4045715332031,339.9137329101562,524.6817810058594,322.3180236816406,328.26768493652344,340.7804656982422,527.6374084472657
308.8497619628906,314.3472930908203,326.04326782226565,508.73432006835935,309.833740234375,315.09248046875,327.58123474121095,503.6783813476562
322.0735778808594,328.7364868164062,340.5447174072266,525.7129699707032,322.0735778808594,327.9388366699219,339.6343627929688,513.9899047851562
323.0152893066406,329.2439025878906,341.6448974609375,512.5034545898437,323.0152893066406,329.2439025878906,341.6448974609375,523.69228515625
319.9259033203125,327.73500366210936,339.5869171142578,523.6135681152343,319.9259033203125,325.74949645996094,337.5972961425781,519.7779724121094
319.1035461425781,325.8629852294922,338.20465698242185,527.8024780273438,319.1035461425781,323.87950134277344,336.2203338623047,516.4021362304687
325.2704772949219,330.630517578125,343.1161254882812,529.400927734375,325.2704772949219,330.630517578125,343.1161254882812,526.4829162597656
317.4158935546875,324.1952423095703,335.86176147460935,532.1034545898438,317.4158935546875,324.21031799316404,335.49891662597656,508.6615783691406
333.3825378417969,338.5039031982422,350.94484252929686,545.5235290527344,333.3825378417969,337.5100860595703,349.9525543212891,524.6362670898437
322.4024353027344,328.4551666259766,341.239111328125,530.4246887207031,322.4024353027344,328.4786437988281,341.259326171875,529.8464172363281
323.86444091796875,327.56627502441404,340.03558959960935,526.3198303222656,323.86444091796875,326.77809448242186,339.2445556640625,511.77967834472656
318.3109436035156,324.8017639160156,336.8865692138672,512.4618286132812,318.3109436035156,324.8017639160156,335.89073181152344,504.4589874267578
309.949462890625,315.45029296875,327.5564727783203,517.1810363769531,309.949462890625,316.1232543945313,328.2611541748047,513.2004272460938
320.9234924316406,327.7974456787109,339.8397735595703,509.0357299804688,320.9234924316406,327.7974456787109,338.84104309082034,510.12572021484374
322.96783447265625,332.0439727783203,344.3551391601562,540.1654724121094,321.9903869628906,325.65253295898435,337.9539398193359,503.5227935791016
315.7594299316406,319.8665405273438,333.296923828125,531.340478515625,315.7594299316406,320.39674987792966,332.6311370849609,504.88951416015624
326.217529296875,332.01588745117186,344.0059814453125,520.8074768066406,326.217529296875,332.01588745117186,344.0059814453125,518.8676086425781
319.90875244140625,322.57683715820315,334.9672882080078,526.1794067382813,320.896240234375,323.3077392578125,335.4794891357422,504.98455200195315
327.9021911621094,334.46454467773435,347.05898132324216,528.1972778320312,327.9021911621094,333.46543273925784,346.06041259765624,531.5408386230469
320.8302307128906,328.6046478271484,339.8219390869141,520.13564453125,320.7691650390625,323.7022369384766,333.6217803955078,491.5988311767578
322.8177490234375,326.3555419921875,340.2851898193359,527.7716613769531,322.8177490234375,326.3579498291016,337.48204650878904,499.1338409423828
319.6925048828125,324.8254791259766,337.4143493652344,523.7672119140625,319.6925048828125,324.8138732910156,337.3469604492187,510.3307403564453
324.3519592285156,331.36249084472655,342.89793395996094,515.7742218017578,324.3519592285156,328.8155792236328,341.1747741699219,507.36549072265626
323.43780517578125,326.5398193359375,338.94801635742186,515.0558807373047,323.43780517578125,326.46784057617185,339.33986206054686,509.95090637207034
324.0080261230469,330.8224212646484,343.81971130371096,514.606884765625,324.0080261230469,329.82366943359375,341.84519348144534,513.6926788330078
333.4840393066406,339.57647705078125,352.1819244384766,528.9155151367188,333.4840393066406,339.57647705078125,352.1819244384766,539.0739501953125
334.9996032714844,341.183154296875,353.6440460205078,539.2929321289063,334.9996032714844,341.1020233154297,353.5629577636719,540.2583862304688
315.1805419921875,320.4072540283203,331.7879913330078,500.4314849853516,315.1805419921875,321.39043579101565,332.4140930175781,507.9410705566406
317.4290771484375,323.5549743652344,336.02747497558596,516.7032470703125,317.4290771484375,323.5549743652344,336.02747497558596,523.4294067382813
313.7975158691406,320.21352233886716,331.1500183105469,495.7325012207031,313.7975158691406,316.78325805664065,327.7414276123047,490.2604248046875
322.9432678222656,328.6859161376953,341.2013366699219,531.0426452636718,322.9432678222656,327.69569396972656,340.2104766845703,522.6638732910156
316.5858459472656,323.440625,335.5095245361328,522.8553283691406,315.75347900390625,318.9561340332031,330.9898620605469,513.6826446533203
318.1799621582031,325.2852478027344,338.0362030029297,534.8283752441406,317.6668395996094,321.5661651611328,334.29958190917966,508.6935241699219
331.0256652832031,335.75074157714846,348.31568908691406,533.740625,331.0256652832031,336.6106201171875,349.18573303222655,534.1375061035156
319.80841064453125,326.14165649414065,338.4845245361328,528.483154296875,319.80841064453125,325.34361877441404,337.6876739501953,518.7015441894531
305.2044677734375,314.4204895019531,328.59067993164064,530.7113830566407,305.2044677734375,308.2509307861328,319.4142730712891,482.5173828125
319.0719299316406,325.1430267333984,337.71962280273436,519.3460510253906,319.0719299316406,324.14703063964845,336.73008728027344,517.315966796875
321.21923828125,327.4879577636719,339.8385437011719,523.785302734375,321.21923828125,327.4879577636719,339.86590270996095,527.3300598144531
305.47784423828125,309.5950103759766,321.4118194580078,507.60924072265624,305.47784423828125,308.68007507324216,320.29306945800784,480.55478515625
309.251953125,312.8373138427734,325.66826171875,497.0058135986328,310.0672607421875,313.13551940917966,325.9766510009766,497.1036865234375
